Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
"The fast-moving Carr Fire in Northern California has claimed the lives of a great-grandmother, two young children a… https://t.co/oHwvlBZZ0u",Sun Jul 29 18:54:11 +0000 2018,-0.34,0.0,0.124,0.876,97
Don't pack your bags for Mars just yet https://t.co/T2vDZkv45G https://t.co/ph2CB7Kz1O,Sun Jul 29 18:39:52 +0000 2018,0.0,0.0,0.0,1.0,98
President Trump's attorney Rudy Giuliani says he wants the public to hear more of Michael Cohen's recordings as he… https://t.co/0u5WLD0fJH,Sun Jul 29 18:25:52 +0000 2018,0.0,0.0,0.0,1.0,99
Former White House communications director Anthony Scaramucci says he disagrees with the way the White House reprim… https://t.co/TFFM7qMlur,Sun Jul 29 18:10:00 +0000 2018,-0.318,0.0,0.119,0.881,100
Rudy Giuliani: “You could investigate an innocent man forever.” https://t.co/JDpn7NPBo7,Mon Jul 30 12:04:00 +0000 2018,0.34,0.211,0.0,0.789,1
Rudy Giuliani: “Everything that’s been released so far shows the president to be absolutely innocent. He didn’t do… https://t.co/biWQ4yvZ6e,Mon Jul 30 12:01:00 +0000 2018,0.4,0.13,0.0,0.87,2
Confederate monuments report raises idea of changing Texas capital's name https://t.co/JWB5nbdIIM,Mon Jul 30 11:54:19 +0000 2018,0.0,0.0,0.0,1.0,3
Chick-fil-A's Canadian expansion sparks pro-LGBTQ protests https://t.co/gSfVnX1coy,Mon Jul 30 11:51:13 +0000 2018,-0.226,0.0,0.241,0.759,4
OPINION: @GiannoCaldwell: Chicago's gun violence is intolerable -- Trump should provide help https://t.co/iAg2BLc8Ab,Mon Jul 30 11:29:10 +0000 2018,-0.586,0.141,0.339,0.521,5
.@newtgingrich: “His policies are working.” https://t.co/loe3wmqtD8,Mon Jul 30 11:19:42 +0000 2018,0.0,0.0,0.0,1.0,6
".@newtgingrich: “Is it more radical to want to have a wall, or is it more radical to want to have open borders?” https://t.co/O2uy6FTNDs",Mon Jul 30 11:16:21 +0000 2018,0.28,0.135,0.0,0.865,7
Ginsburg hopes to serve 'at least' five more years on Supreme Court https://t.co/aN2NvxMvbY,Mon Jul 30 10:44:29 +0000 2018,0.769,0.377,0.0,0.623,8
".@dbongino: “Tax reform was just monumental, we see now the effects on the economy, 4.1% growth.” https://t.co/zrtKXCvJPQ",Mon Jul 30 10:39:15 +0000 2018,0.0,0.0,0.0,1.0,9
.@kayleighmcenany: “There’s this very disturbing trend within the Democratic Party towards socialism.” https://t.co/QQ6lZe3N7Z,Mon Jul 30 10:28:41 +0000 2018,-0.225,0.156,0.208,0.636,10
Martina White: “It’s truly shocking that the mayor was willing to end a contract that was actually helping to keep… https://t.co/rMtkvpJcCd,Mon Jul 30 10:21:47 +0000 2018,0.34,0.206,0.109,0.685,11
Prankster puts Putin's portrait in Trump's place at Colorado Capitol https://t.co/FbHNPskAOn,Mon Jul 30 10:14:41 +0000 2018,0.0,0.0,0.0,1.0,12
.@CarleyShimkus is live with the 'Fox News Update' on Facebook Watch: https://t.co/yq4SFGVnY5 https://t.co/D4YmT4zD2F,Mon Jul 30 10:10:32 +0000 2018,0.0,0.0,0.0,1.0,13
"OPINION: Trump should tone down his Twitter threats, or America could face trouble around the world https://t.co/97nV69vFjv",Mon Jul 30 09:55:07 +0000 2018,-0.67,0.0,0.268,0.732,14
"Jason Nichols: “Democratic Socialism is one wing of the party, we have a wide tent for the Democratic Party.” https://t.co/HNc4AKGuMy",Mon Jul 30 09:40:26 +0000 2018,0.402,0.13,0.0,0.87,15
Missing University of Iowa student may have returned to home after jog: report https://t.co/lT5CKEMIEw,Mon Jul 30 09:30:03 +0000 2018,-0.296,0.0,0.145,0.855,16
Robert Wilkie to Be Sworn in as Secretary of VA Today https://t.co/duz9zdo8zA,Mon Jul 30 09:21:36 +0000 2018,0.0,0.0,0.0,1.0,17
Computer Glitch at @AmericanAir Causes Delays Nationwide https://t.co/j1MIlWtMKu,Mon Jul 30 09:21:02 +0000 2018,0.0,0.0,0.0,1.0,18
OPINION: I'm an educator. This is why I want Judge Kavanaugh on the Supreme Court https://t.co/EYuP9WrTMT,Mon Jul 30 09:14:43 +0000 2018,0.599,0.274,0.0,0.726,19
Eight-year-old boy starts lemonade stand to help local police department https://t.co/MRW19niFVL,Mon Jul 30 08:56:25 +0000 2018,0.402,0.213,0.0,0.787,20
".@JoeBorelliNYC: ""Nobody wants a government shutdown...but when you elect a Republican Congress to the House, you e… https://t.co/bnKftjMbfw",Mon Jul 30 08:51:12 +0000 2018,0.0,0.0,0.0,1.0,21
".@RochelleRitchie: ""What kind of president tweets that he would love to see the government shut down? Why would Pre… https://t.co/OEPEYQlDkb",Mon Jul 30 08:46:14 +0000 2018,0.637,0.181,0.0,0.819,22
"On #SundayFutures, Rep. @DevinNunes pushed to declassify more of the FISA warrant documents. https://t.co/3kCJW8hDfy",Mon Jul 30 08:45:00 +0000 2018,0.0,0.0,0.0,1.0,23
Republicans call for Trump to declassify FISA documents https://t.co/7gMMJwOus2,Mon Jul 30 08:40:47 +0000 2018,0.0,0.0,0.0,1.0,24
"Peter Morici: ""What the left is denying is that over the entire Trump presidency, growth has averaged about 40 to 4… https://t.co/1DwBrME3qy",Mon Jul 30 08:24:20 +0000 2018,0.052,0.104,0.096,0.8,25
Northern California fire leaves 6 dead as officials worry high winds could flame blaze https://t.co/zzBsRt9wg0 https://t.co/MRRWkIxVFl,Mon Jul 30 08:15:57 +0000 2018,-0.862,0.0,0.444,0.556,26
Washington Nationals shortstop Trea Turner apologizes for racist and homophobic tweets https://t.co/L6lcUcoLj6,Mon Jul 30 08:13:47 +0000 2018,-0.361,0.152,0.242,0.606,27
Trump tweets he'd 'shut down' government if Democrats don't fund US-Mexico wall https://t.co/BZWBmREqAY https://t.co/1DCEGRJon8,Mon Jul 30 08:11:06 +0000 2018,0.0,0.0,0.0,1.0,28
SHOW OFF: Ritchie the ring-tailed lemur confidently flexed his muscles on Monday at the Melbourne Zoo. https://t.co/EdOTdbwKXn,Mon Jul 30 08:04:22 +0000 2018,0.477,0.162,0.0,0.838,29
".@AllenWest: ""We have substance right now, and you have a president that [is] really putting people on notice."" https://t.co/9I2bnb3GJR",Mon Jul 30 08:00:00 +0000 2018,0.0,0.0,0.0,1.0,30
2 arrested for alleged looting during California wildfires https://t.co/myHhyxOiYQ,Mon Jul 30 07:53:00 +0000 2018,-0.477,0.0,0.307,0.693,31
".@VP: ""My dad was in the @USArmy... [He] raised us to understand that he always thought the heroes of the Korean Wa… https://t.co/IsHkH9Fyrs",Mon Jul 30 07:45:00 +0000 2018,0.511,0.13,0.0,0.87,32
"Netflix focused on building faith and family-based shows, exec says https://t.co/TQGV3FMBzl",Mon Jul 30 07:38:00 +0000 2018,0.66,0.375,0.0,0.625,33
".@AllenWest: ""When you look at what has happened with our foreign policy, I mean, we are now regarded, we are now r… https://t.co/ATejYrOgyy",Mon Jul 30 07:30:00 +0000 2018,0.0,0.0,0.0,1.0,34
Retired lieutenant colonel and former U.S. Representative @AllenWest discussed growing up in a military family as w… https://t.co/6YxPhb2WYW,Mon Jul 30 07:23:00 +0000 2018,0.178,0.096,0.0,0.904,35
".@LindseyGrahamSC: ""I've never been more pleased with @POTUS than I am right now regarding Iran."" #SundayFutures… https://t.co/ucfI0JLZGj",Mon Jul 30 07:15:00 +0000 2018,-0.386,0.0,0.149,0.851,36
Vegan activists protest North Carolina fishing tournament https://t.co/tJnEoyDwzV,Mon Jul 30 07:07:00 +0000 2018,-0.25,0.0,0.222,0.778,37
".@MichelleMalkin: ""The biggest enemies here are not necessarily the open-borders Dems. They're doing what they alwa… https://t.co/P8zpcTMui5",Mon Jul 30 07:00:00 +0000 2018,-0.494,0.0,0.167,0.833,38
".@AllenWest: ""My parents raised me with conservative principles and values. They believed in faith, they believed i… https://t.co/rwLePnW8oV",Mon Jul 30 06:45:00 +0000 2018,0.67,0.256,0.0,0.744,39
"Bridesmaid begs JetBlue for refund after bride asks her 'to relinquish' title, 'duties' https://t.co/Cx4MlkS9bN",Mon Jul 30 06:38:00 +0000 2018,0.0,0.0,0.0,1.0,40
Carol Swain: “I believe that the university is supposed to be a marketplace for ideas and that students cannot be e… https://t.co/S4ZKZ4RQZG,Mon Jul 30 06:30:00 +0000 2018,0.0,0.0,0.0,1.0,41
"Drug dog Sombra has already sniffed her way to high-profile drug busts, finding stashes hidden in suitcases, boats… https://t.co/5uRp5hy1rq",Mon Jul 30 06:23:00 +0000 2018,0.0,0.0,0.0,1.0,42
".@AllenWest: ""I'll never forget when my dad said that there is no greater honor than to wear the uniform of the Uni… https://t.co/gXfIIBMKaD",Mon Jul 30 06:15:00 +0000 2018,0.633,0.258,0.077,0.665,43
Missing University of Iowa student may have returned to home after jog: report https://t.co/lT5CKEMIEw,Mon Jul 30 06:08:00 +0000 2018,-0.296,0.0,0.145,0.855,44
".@VP: ""President Trump has asked me to do many things on his behalf as vice president, but frankly I've never been… https://t.co/0ldLnpar4F",Mon Jul 30 06:00:00 +0000 2018,0.0,0.0,0.0,1.0,45
"On Friday, United Nations Command Chaplain U. S. Army Col. Sam Lee performed a blessing of sacrifice and remembranc… https://t.co/pG2rJiBraB",Mon Jul 30 05:53:00 +0000 2018,0.718,0.261,0.0,0.739,46
A Florida police officer who died a week after he was shot while on the job was remembered Saturday night by member… https://t.co/KDRLzzgwxm,Mon Jul 30 05:45:00 +0000 2018,-0.557,0.0,0.153,0.847,47
Ginsburg to hopes to serve 'at least' five more years on Supreme Court https://t.co/aN2NvxMvbY https://t.co/TQAW1yThJT,Mon Jul 30 05:38:00 +0000 2018,0.769,0.339,0.0,0.661,48
".@DevinNunes: ""There's a stall game going on at DOJ and FBI - they're trying to stall as much they can hoping and b… https://t.co/FoUhb2HRT0",Mon Jul 30 05:30:00 +0000 2018,0.052,0.11,0.142,0.748,49
"After one woman’s tweet featuring a homeless web designer’s unconventional job hunting tactic went viral, David Cas… https://t.co/f16lfCJ26L",Mon Jul 30 05:23:00 +0000 2018,0.0,0.0,0.0,1.0,50
"John Zimmerlee: “President Trump, we can’t thank you enough for bringing attention to the Korean War.” https://t.co/3DcctV4rwI",Mon Jul 30 05:15:00 +0000 2018,0.361,0.135,0.0,0.865,51
.@taylorswift13 donates concert tickets to mourning Massachusetts police department https://t.co/Vf5WXTY2G5,Mon Jul 30 05:07:00 +0000 2018,-0.44,0.0,0.244,0.756,52
".@charliekirk11: ""If socialist professors really believe the nonsense that they, you know, profess, why don't they… https://t.co/RIddaM4p5o",Mon Jul 30 05:00:00 +0000 2018,-0.452,0.0,0.156,0.844,53
"On ""Justice,"" @JudgeJeanine commented on President @realDonaldTrump's impact on the economy. https://t.co/eo5SKwdg2l",Mon Jul 30 04:53:00 +0000 2018,0.0,0.0,0.0,1.0,54
Report: US Therapists See Increase in Patients With 'Trump Anxiety Disorder' https://t.co/juMOo5HdVE https://t.co/IXQ6NbmrAH,Mon Jul 30 04:45:01 +0000 2018,-0.273,0.138,0.263,0.599,55
Ebola scare at Denver hospital after man just back from Congo exhibited symptoms https://t.co/cg84kJbXNz,Mon Jul 30 04:38:00 +0000 2018,-0.494,0.0,0.198,0.802,56
"SWEET: On Saturday, eight-year-old Brecken Simmons set up a lemonade stand in his neighborhood in order to raise mo… https://t.co/TMFGxRA6Yi",Mon Jul 30 04:30:00 +0000 2018,0.577,0.172,0.0,0.828,57
"ADORABLE: One man snapped this sweet shot of two lovebirds riding the New York subway, tweeting “If anyone recogniz… https://t.co/SuZ2tkvWOb",Mon Jul 30 04:23:00 +0000 2018,0.814,0.292,0.0,0.708,58
".@dbongino: ""[@BarackObama is] one of the top five worst economic presidents  in American history."" @JudgeJeanine https://t.co/YWITDHcRfC",Mon Jul 30 04:15:00 +0000 2018,-0.511,0.09,0.206,0.704,59
President @realDonaldTrump holds his granddaughter Arabella’s hand as they walk across the South Lawn of the… https://t.co/FuyguRrFFO,Mon Jul 30 04:08:00 +0000 2018,0.494,0.167,0.0,0.833,60
".@DevinNunes: ""Clinton-paid-for dirt was used to get a warrant to spy on an American citizen using our secret count… https://t.co/UnTc732eP9",Mon Jul 30 04:01:00 +0000 2018,-0.34,0.0,0.118,0.882,61
Boy battling cancer granted wish to be firefighter for a day https://t.co/7WQRL5YcBR,Mon Jul 30 03:53:00 +0000 2018,-0.422,0.258,0.357,0.385,62
Colorado kids caught on camera returning wallet with $700 cash inside: 'Gives you faith in humanity' https://t.co/xMWPBLRqmB,Mon Jul 30 03:45:00 +0000 2018,0.422,0.149,0.0,0.851,63
.@dallascowboys quarterback @dak Prescott weighed in on the national anthem controversy surrounding the @NFL.… https://t.co/HKcIDVJoIX,Mon Jul 30 03:37:00 +0000 2018,0.0,0.0,0.0,1.0,64
Mama duck with 76 ducklings on Minnesota lake captured in stunning photos https://t.co/b89OE9G7eO,Mon Jul 30 03:30:49 +0000 2018,0.382,0.178,0.0,0.822,65
".@AllenWest: ""That is the number one thing that is happening in our government, that too many believe that they hav… https://t.co/hD5xZrqBTl",Mon Jul 30 03:17:59 +0000 2018,0.077,0.061,0.0,0.939,66
".@AllenWest: ""A clearance for the United States of America is a privilege— it's not a right."" https://t.co/KAjOgjw6F0",Mon Jul 30 03:15:09 +0000 2018,0.422,0.167,0.0,0.833,67
".@AllenWest: ""We have substance right now, and you have a president that [is] really putting people on notice."" https://t.co/MmbBZq68QH",Mon Jul 30 03:06:17 +0000 2018,0.0,0.0,0.0,1.0,68
".@AllenWest: ""When you look at what has happened with our foreign policy, I mean, we are now regarded, we are now r… https://t.co/lj1655jnYU",Mon Jul 30 02:59:44 +0000 2018,0.0,0.0,0.0,1.0,69
Great white shark caught in Rhode Island waters https://t.co/j7QG32Mhqt,Mon Jul 30 02:51:47 +0000 2018,0.625,0.339,0.0,0.661,70
".@AllenWest: ""The Republican Party should be standing up for individual economic empowerment."" https://t.co/FWR6WXjxbY",Mon Jul 30 02:41:11 +0000 2018,0.402,0.184,0.0,0.816,71
A Florida police officer who died a week after he was shot while on the job was remembered Saturday night by member… https://t.co/6cK3fYgCgv,Mon Jul 30 02:32:21 +0000 2018,-0.557,0.0,0.153,0.847,72
".@AllenWest: ""That's what makes us conservatives— we believe that this is a great land of opportunity."" https://t.co/HksGkrVjhP",Mon Jul 30 02:30:54 +0000 2018,0.625,0.215,0.0,0.785,73
".@AllenWest: ""My parents raised me with conservative principles and values. They believed in faith, they believed i… https://t.co/b1VzhZZZYf",Mon Jul 30 02:27:44 +0000 2018,0.67,0.256,0.0,0.744,74
".@AllenWest: ""I embarked on this thing called being a United States congressman, not wanting to seek fame or fortun… https://t.co/rve96uS9HZ",Mon Jul 30 02:22:10 +0000 2018,0.691,0.251,0.0,0.749,75
".@AllenWest: ""I'll never forget when my dad said that there is no greater honor than to wear the uniform of the Uni… https://t.co/1fDtpwDGvC",Mon Jul 30 02:12:33 +0000 2018,0.633,0.258,0.077,0.665,76
"On #SundayFutures, Rep. @DevinNunes called for Americans to see more of the redacted information in the FISA warran… https://t.co/iCzGmSZwwm",Mon Jul 30 02:05:01 +0000 2018,0.0,0.0,0.0,1.0,77
"RT @FoxNewsResearch: 𝟏𝟎𝟎 𝐃𝐚𝐲𝐬
- to the 2018 Midterms
•Democrats:
→Need net gain of 2 seats to gain control of Senate
→Need net gain of 23 s…",Mon Jul 30 01:51:29 +0000 2018,0.881,0.317,0.0,0.683,78
".@LindseyGrahamSC: ""I've never been more pleased with @POTUS than I am right now regarding Iran."" #SundayFutures… https://t.co/hB92uthH63",Mon Jul 30 01:44:57 +0000 2018,-0.386,0.0,0.149,0.851,79
.@dbongino to Dem Radio Host: 'Spare Us the Nonsense' About Obama's Economy https://t.co/kXekc8d4fU,Mon Jul 30 01:37:08 +0000 2018,-0.402,0.0,0.184,0.816,80
RT @FoxBusiness: Trump eyes Mexico for speedy NAFTA deal  https://t.co/UglfUOaOZS,Mon Jul 30 01:27:26 +0000 2018,0.0,0.0,0.0,1.0,81
".@jasoninthehouse on economic growth: ""The one thing that they have to do in Congress, they have to curb spending.… https://t.co/q50nXYDVjN",Mon Jul 30 01:26:00 +0000 2018,0.382,0.12,0.0,0.88,82
".@jasoninthehouse on economic growth: ""Not enough credit or discussion is given to the relaxation of the regulation… https://t.co/1SDRYSRLos",Mon Jul 30 01:21:27 +0000 2018,0.588,0.259,0.094,0.647,83
".@SteveHiltonx on economic growth: ""We need to be clear about why this turnaround is happening; because we have an… https://t.co/7BXbnRxylB",Mon Jul 30 01:14:59 +0000 2018,0.637,0.224,0.0,0.776,84
Atlanta Braves pitcher Sean Newcomb apologizes for offensive tweets after near no-hitter https://t.co/f38HoBZYZU,Mon Jul 30 01:10:14 +0000 2018,0.34,0.293,0.163,0.543,85
"Brian Christopher, son of WWE legend Jerry Lawler, dead at age 46 https://t.co/k0UKesRlzz",Mon Jul 30 00:59:06 +0000 2018,-0.649,0.0,0.264,0.736,86
"Alex Trebek on how he said 'I do': ""The answer is— I do."" #OBJECTified https://t.co/WeXSxSrnYo",Mon Jul 30 00:48:15 +0000 2018,0.0,0.0,0.0,1.0,87
Atlanta Braves pitcher Sean Newcomb apologizes for offensive tweets after near no-hitter https://t.co/hUOO6ew2mS,Mon Jul 30 00:43:52 +0000 2018,0.34,0.293,0.163,0.543,88
"Alex Trebek: ""I'm not into exotic cars or boats or planes. It doesn't excite me."" #OBJECTified https://t.co/INM039ghA5",Mon Jul 30 00:42:13 +0000 2018,-0.372,0.0,0.138,0.862,89
"Alex Trebek on his role on @Jeopardy: ""I want to make you look good. I want you to be the very best you can be, bec… https://t.co/aOEFr09REm",Mon Jul 30 00:34:35 +0000 2018,0.84,0.312,0.0,0.688,90
JUST IN: Second firefighter killed battling blaze near Yosemite https://t.co/6dVxh13SFG,Mon Jul 30 00:28:00 +0000 2018,-0.765,0.0,0.452,0.548,91
Red-tailed hawk struck by vehicle rescued in upstate New York https://t.co/mMT56JEkrh,Mon Jul 30 00:19:58 +0000 2018,0.202,0.203,0.145,0.652,92
"New York man arrested for hitting his girlfriend with Bible, police say https://t.co/ql9INVJUvu",Mon Jul 30 00:12:41 +0000 2018,-0.477,0.0,0.205,0.795,93
"TONIGHT: Don't miss ""Life, Liberty, &amp; Levin"" with @marklevinshow with special guest @AllenWest - Tune in at 10p ET… https://t.co/mmVvlhYS5F",Mon Jul 30 00:00:00 +0000 2018,0.095,0.181,0.121,0.698,94
".@MoElleithee on U.S.-Russia relations: ""Putin is getting everything he wants out of this relationship and that is… https://t.co/GkxaaYL26b",Sun Jul 29 23:55:00 +0000 2018,0.0,0.0,0.0,1.0,95
".@GillianHTurner on tariffs: ""Sometimes conflict resolution 101 tells you that when you have these really contentio… https://t.co/mgE1qf2vFC",Sun Jul 29 23:50:00 +0000 2018,-0.318,0.0,0.126,0.874,96
OPINION: How 3 words can stop what's stealing your joy: Instead of staying stuck in comparing and competing https://t.co/GQS4GEOhJ8,Sun Jul 29 23:49:00 +0000 2018,-0.477,0.148,0.307,0.545,97
Rep. John Lewis released from hospital with 'clean bill of health' https://t.co/M2KVsRlzcp,Sun Jul 29 23:40:59 +0000 2018,0.402,0.197,0.0,0.803,98
Palestinian teen jailed for hitting Israeli soldier gets hero's welcome https://t.co/jmtZrt252P,Sun Jul 29 23:36:23 +0000 2018,-0.052,0.197,0.211,0.592,99
WATCH: Chris Wallace's full interview with Treasury Secretary @stevenmnuchin1 - Part 2. @FoxNewsSunday… https://t.co/sunAxJ1LDn,Sun Jul 29 23:36:00 +0000 2018,0.202,0.13,0.0,0.87,100
"Documents filed by Robert Mueller last month showed that Alan Friedman, an Italian media celebrity, worked closely… https://t.co/o3Hrjbf3vq",Mon Jul 30 12:15:08 +0000 2018,0.0,0.0,0.0,1.0,1
"Your daily @DealBook Briefing:

• Accusations against CBS’s CEO could spur a Viacom deal. 

• The Bank of England g… https://t.co/GUifxCvATd",Mon Jul 30 12:03:04 +0000 2018,-0.318,0.0,0.119,0.881,2
"Review: Santigold's latest album tackles themes like autonomy, eccentricity and societal critique and wraps them in… https://t.co/TSKNhGIJpw",Mon Jul 30 11:46:32 +0000 2018,0.361,0.135,0.0,0.865,3
"RT @mattfleg: ""So many people think they know me,"" Cynthia Nixon says. She thinks otherwise. Our deep look at her long-shot challenge to An…",Mon Jul 30 11:36:56 +0000 2018,0.077,0.053,0.0,0.947,4
An environmental activist received an urgent government warning on Saturday to evacuate his home immediately. But i… https://t.co/Nn4zjLnzLM,Mon Jul 30 11:30:09 +0000 2018,-0.077,0.073,0.089,0.838,5
"The ACLU has been changing tactics, and one of its models for the future is the NRA https://t.co/ckH3xKChh8",Mon Jul 30 11:15:03 +0000 2018,0.0,0.0,0.0,1.0,6
"""We're going to have a challenging midterm anyway, and I don't see how putting the attention on shutting down the g… https://t.co/Jg3IgJOMzn",Mon Jul 30 11:00:11 +0000 2018,0.153,0.078,0.0,0.922,7
"""We don't need floods or anything. We just need some average rain."" Farmers in an area of southeastern Australia ha… https://t.co/FIA4WF5eFr",Mon Jul 30 10:44:04 +0000 2018,0.0,0.0,0.0,1.0,8
A polar bear was shot and killed after it attacked and injured a guard from a cruise ship that had stopped at an Ar… https://t.co/hk0mjpVstt,Mon Jul 30 10:30:06 +0000 2018,-0.902,0.0,0.402,0.598,9
What does it actually mean for a crop to be genetically modified? https://t.co/LDZDyVp3Ft,Mon Jul 30 10:16:06 +0000 2018,0.0,0.0,0.0,1.0,10
Morning Briefing: Here's what you need to know to start your day https://t.co/de1e5ZGsx9 https://t.co/CnwyDnTQLK,Mon Jul 30 10:00:06 +0000 2018,0.0,0.0,0.0,1.0,11
"The question was not who would win. Instead, the real mystery was whether Cambodians were so deeply disenchanted wi… https://t.co/D0xP3vFjGb",Mon Jul 30 09:45:03 +0000 2018,-0.472,0.0,0.139,0.861,12
"Laos's approach to development has paid off handsomely for domestic elites, while often leaving the rural poor at t… https://t.co/cpcrcapKt4",Mon Jul 30 09:31:02 +0000 2018,-0.052,0.121,0.129,0.75,13
"At a last-minute news conference on Sunday, Robert Mugabe said he ""can't vote for those who have tormented me."" https://t.co/KgSwNOq8yr",Mon Jul 30 09:15:02 +0000 2018,0.0,0.0,0.0,1.0,14
"A sixth person has died in the Carr Fire in Northern California, the authorities said https://t.co/tyHE1VCKRI",Mon Jul 30 09:00:12 +0000 2018,-0.718,0.0,0.316,0.684,15
"""As a Muslim, I am offended by the idea that we should not protect a child because of an assumption that this has s… https://t.co/HmABgBOf6s",Mon Jul 30 08:45:05 +0000 2018,-0.491,0.0,0.173,0.827,16
Imran Khan brings more star power and mystique than any recent Pakistani leader and perhaps a better chance to chan… https://t.co/eVLlwcQK38,Mon Jul 30 08:31:04 +0000 2018,0.599,0.214,0.0,0.786,17
"Pope Francis accepted the resignation of Cardinal Theodore McCarrick, a former U.S. archbishop who is at the center… https://t.co/qSaCgrixO7",Mon Jul 30 08:16:02 +0000 2018,-0.026,0.103,0.108,0.788,18
"RT @nytimesworld: “If we shy away from conversations about sexual assault, the only thing we are conveying to young boys and girls is that…",Mon Jul 30 08:00:13 +0000 2018,-0.7,0.0,0.209,0.791,19
The publisher of The Times recalled telling Trump that newspapers had begun posting armed guards outside their offi… https://t.co/FeO1ZCoPUz,Mon Jul 30 07:46:02 +0000 2018,0.0,0.0,0.0,1.0,20
"RT @nytimesworld: Allegations against the director Luc Besson have not set off a chain reaction in the French film industry, showing how #M…",Mon Jul 30 07:30:07 +0000 2018,0.0,0.0,0.0,1.0,21
Overwhelmed by the sheer volume of comedy specials coming to Netflix? Here's what to watch (and in what order). https://t.co/FBRzJqakIj,Mon Jul 30 07:20:06 +0000 2018,0.402,0.171,0.0,0.829,22
"How to Beat F.O.B.O., From the Expert Who Coined It https://t.co/K82xRbzaml",Mon Jul 30 07:03:12 +0000 2018,0.0,0.0,0.0,1.0,23
10 new books recommended by critics and editors at The New York Times https://t.co/8L7S7TIyqZ,Mon Jul 30 07:02:25 +0000 2018,-0.103,0.113,0.138,0.75,24
A New Batsman for Pakistan https://t.co/44rEmdf0iF,Mon Jul 30 06:45:04 +0000 2018,0.0,0.0,0.0,1.0,25
Dozens of Australian-style cafes have popped up in New York City in the last decade. That's not a coincidence. https://t.co/vfq44n3CRf,Mon Jul 30 06:36:55 +0000 2018,0.0,0.0,0.0,1.0,26
"Insulin may determine which ants become workers and which become queens, according to a new study https://t.co/7YF2PTrTF5",Mon Jul 30 06:19:09 +0000 2018,0.0,0.0,0.0,1.0,27
Cardinal McCarrick’s resignation comes as Pope Francis faces increased pressure to show he is serious about crackin… https://t.co/WUwyssnnts,Mon Jul 30 06:02:04 +0000 2018,-0.382,0.096,0.261,0.642,28
"RT @nytimesarts: Billy Joel doesn't think ""Piano Man"" is all that great: ""There’s a lot of my songs I could never hear again and live quite…",Mon Jul 30 05:46:58 +0000 2018,0.625,0.151,0.0,0.849,29
Hoover Dam was a public works project likened to the pyramids. Now it is the focus of a new challenge: turning the… https://t.co/6z9nKaPsxF,Mon Jul 30 05:30:04 +0000 2018,0.077,0.061,0.0,0.939,30
RT @NYTmag: Where does a kebab end and a burger — that most American of foods — begin? https://t.co/sC2vr4A0kY https://t.co/EN5yroqIKz,Mon Jul 30 05:15:34 +0000 2018,0.0,0.0,0.0,1.0,31
Would you pay $1 billion for this view? And the 157 acres of land that come with it? https://t.co/MZg753xSVQ https://t.co/DR9IEeFNRZ,Mon Jul 30 04:59:23 +0000 2018,-0.193,0.0,0.085,0.915,32
One reason that Civil War re-enactment may be in decline:  The social and political realities can't be ignored anym… https://t.co/siHdS2xiPl,Mon Jul 30 04:44:46 +0000 2018,-0.448,0.082,0.163,0.754,33
"In Opinion,

Historian Kenneth Weisbrode and poet Heather H. Yeung write “By populating, polluting and managing it … https://t.co/VjijAnAOdB",Mon Jul 30 04:28:19 +0000 2018,0.0,0.0,0.0,1.0,34
Overwhelmed by the world? @legroff has a recommendation that’ll help. “Of all the books I have reread to comfort my… https://t.co/eOIVXAXBsU,Mon Jul 30 04:12:01 +0000 2018,0.66,0.286,0.0,0.714,35
"“There was anger here, but also a lot of beauty”: Eye-popping portraits for an age of protest https://t.co/tFLJqSWk8t",Mon Jul 30 03:54:15 +0000 2018,-0.593,0.0,0.244,0.756,36
"Australia's quolls, marsupials the size of squirrels, were eating themselves to death. Saving them would require a… https://t.co/x2uPTmih7q",Mon Jul 30 03:37:23 +0000 2018,-0.599,0.0,0.187,0.813,37
For Sale: Survey Data on Millions of High School Students https://t.co/5xXRsQB84f,Mon Jul 30 03:18:08 +0000 2018,0.0,0.0,0.0,1.0,38
"For reporters covering conflict, Facebook, YouTube, WhatsApp, Twitter and Skype are tools to witness a movement https://t.co/wyT4JzB8vJ",Mon Jul 30 03:02:58 +0000 2018,-0.318,0.0,0.133,0.867,39
"¯\_(ツ)_/¯ 
https://t.co/x0HPUXKYYU",Mon Jul 30 02:45:19 +0000 2018,0.0,0.0,0.0,1.0,40
"Iceland Airwaves, a festival focusing on new artists across all genres, says half of the acts on its stages will be… https://t.co/YMkyl2nxDl",Mon Jul 30 02:26:55 +0000 2018,0.494,0.138,0.0,0.862,41
When it comes to cooking: chicken fat &gt; other types of fats https://t.co/y6SeFnXhqF,Mon Jul 30 02:08:14 +0000 2018,0.0,0.0,0.0,1.0,42
Whether a larvae becomes a member of the insect working class or royalty could depend on how their body uses insulin https://t.co/mnacmR68Jp,Mon Jul 30 01:52:06 +0000 2018,0.0,0.0,0.0,1.0,43
"Have a Cryptocurrency Company? Bermuda, Malta or Gibraltar Wants You https://t.co/XHnUl5TumG",Mon Jul 30 01:33:18 +0000 2018,0.0,0.0,0.0,1.0,44
"Welcome to Breyerfest, a treasured summer rite for those deliriously in love with horses https://t.co/h0fuzu4PrE",Mon Jul 30 01:32:30 +0000 2018,0.896,0.495,0.0,0.505,45
