Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
"🌊🐬 These dolphins were rescued after getting stranded in shallow water in Tasmania. 

https://t.co/MRqRBxsctW",Wed Jul 25 12:03:04 +0000 2018,0.422,0.177,0.0,0.823,81
"'I downloaded all my Facebook data and it was a nightmare'. 💻🤦‍♀️

Have you ever wondered what your data actually l… https://t.co/0sNfkSket7",Wed Jul 25 11:02:03 +0000 2018,0.0,0.0,0.0,1.0,82
"A startling insight into how society viewed the role of women in the 20th century. #WashesWhiter

https://t.co/BIoTfZ5DPG",Wed Jul 25 08:04:03 +0000 2018,0.077,0.08,0.0,0.92,83
"A watchdog has warned that the packaging you recycle 'may end up in landfill'. ♻️🗑

https://t.co/7q7NwFYVBh https://t.co/8SqE3kZ3j8",Wed Jul 25 07:31:07 +0000 2018,-0.273,0.0,0.123,0.877,84
"Why we should all love whale poo... 💚🐋💩 

#OurBluePlanet

https://t.co/VePUiOOE3F",Wed Jul 25 07:02:05 +0000 2018,0.637,0.318,0.0,0.682,85
"Fish are losing their sense of smell because of a rise in CO2 levels, according to new research. 🐟💔… https://t.co/9EWLY0pLrH",Tue Jul 24 19:03:05 +0000 2018,-0.382,0.0,0.126,0.874,86
The best way EVER to deal with a scam. https://t.co/nqWGYEEBy4,Tue Jul 24 18:00:19 +0000 2018,0.128,0.282,0.248,0.47,87
"🌡🍂 From Carnoustie to London, the heatwave has left Britain's parks and lawns parched.

📷 https://t.co/yqcbYgu5Y7… https://t.co/I0rzDBzXOp",Tue Jul 24 17:02:07 +0000 2018,0.0,0.0,0.0,1.0,88
"These birds woo the ladies with popcorn and cartwheels.
#AnimalsBehavingBadly https://t.co/HUArZNsNXy",Tue Jul 24 16:02:09 +0000 2018,0.477,0.237,0.0,0.763,89
"Got kids who are on school holidays? 

📱The ‘CBBC Buzz’ app is free, fun and there’s something for you, whatever yo… https://t.co/RCuJvRzW8D",Tue Jul 24 13:01:03 +0000 2018,0.848,0.326,0.0,0.674,90
"RT @BBCOxford: Oxford's Soup Peddler - who has given more than 4,000 free meals to the homeless - is hanging up his ladle.
Could you carry…",Tue Jul 24 12:16:10 +0000 2018,0.552,0.134,0.0,0.866,91
"👨‍🎤🍞 The first known studio recording of David Bowie is set for auction after being found in an old bread basket.
👉… https://t.co/5R2Pmr8gBf",Tue Jul 24 12:03:04 +0000 2018,0.0,0.0,0.0,1.0,92
"'Doesn't matter what's written on the packet, wet wipes do not disintegrate.' https://t.co/sFUvFL8OaL",Tue Jul 24 11:01:00 +0000 2018,-0.019,0.0,0.082,0.918,93
RT @bbcworldservice: *Calling all Star Wars fans!* This is a VR experience where you star in the storyline. Hear more about Lucasfilm's VR…,Tue Jul 24 09:53:15 +0000 2018,-0.598,0.0,0.156,0.844,94
The perfect picnic doesn't exi... https://t.co/hCE7MqzF2P,Tue Jul 24 08:00:10 +0000 2018,0.572,0.425,0.0,0.575,95
👶👵 Most people feel younger or older than they really are – and this 'subjective age' has a big effect on their phy… https://t.co/vGnFI1TfmB,Tue Jul 24 07:27:04 +0000 2018,0.0,0.0,0.0,1.0,96
Meet the man who escaped locked-in syndrome and is about to become a dad. https://t.co/x0Bkz8R176,Tue Jul 24 07:00:18 +0000 2018,0.0,0.0,0.0,1.0,97
"Film-maker Mo Naqvi attempts to decide who to vote for in Pakistan's upcoming election.

Storyville: Insha'Allah De… https://t.co/u7nu633Gt2",Mon Jul 23 20:03:06 +0000 2018,0.0,0.0,0.0,1.0,98
"💈❤️ Meet the barber tackling mental health one beard trim at a time.
(via @BBCThree) https://t.co/sTbcQnZ2ck",Mon Jul 23 18:02:06 +0000 2018,0.0,0.0,0.0,1.0,99
"Follow the transportation of a herd of elephants from the Midlands to their new seaside home. 🐘

Elephants on the M… https://t.co/nvfAlmyl21",Mon Jul 23 17:31:04 +0000 2018,0.0,0.0,0.0,1.0,100
"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh",Sat Jul 28 16:43:56 +0000 2018,0.34,0.124,0.0,0.876,1
"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",Wed Jul 25 17:25:36 +0000 2018,0.75,0.273,0.0,0.727,2
"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",Wed Jul 25 15:12:31 +0000 2018,0.0,0.0,0.0,1.0,3
Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,Wed Jul 25 01:05:03 +0000 2018,0.34,0.118,0.0,0.882,4
"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",Tue Jul 24 18:54:14 +0000 2018,-0.151,0.068,0.099,0.834,5
The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,Mon Jul 23 21:30:33 +0000 2018,0.829,0.34,0.0,0.66,6
RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,Sun Jul 22 01:56:13 +0000 2018,0.128,0.073,0.0,0.927,7
RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,Sat Jul 21 00:55:28 +0000 2018,-0.296,0.0,0.109,0.891,8
RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,Sat Jul 21 00:19:12 +0000 2018,-0.296,0.0,0.109,0.891,9
"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",Sat Jul 21 00:10:00 +0000 2018,-0.796,0.0,0.264,0.736,10
George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,Fri Jul 20 23:44:54 +0000 2018,-0.66,0.0,0.18,0.82,11
"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",Fri Jul 20 22:29:36 +0000 2018,0.318,0.095,0.0,0.905,12
Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,Fri Jul 20 21:39:09 +0000 2018,0.0,0.0,0.0,1.0,13
"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",Fri Jul 20 15:08:23 +0000 2018,0.0,0.0,0.0,1.0,14
🤰👩‍👧🚫🍸 #WorldEmojiDay,Tue Jul 17 17:55:25 +0000 2018,0.0,0.0,0.0,1.0,15
👨📝✔️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,0.0,1.0,16
👩‍💼💼🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,0.0,1.0,17
🕵️🕵️‍♀️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,0.0,1.0,18
⚓️🦅🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,0.0,1.0,19
🏄🌴🚔 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,0.0,1.0,20
💙👮🍽 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,0.0,1.0,21
💣📎 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,0.0,1.0,22
🌎☄️ #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,0.0,1.0,23
🏷💰🎰 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,0.0,1.0,24
👶😴🚫 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,0.0,1.0,25
🤝💼💰 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,0.0,1.0,26
💄👠📷 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,0.0,1.0,27
🏝🔥💵 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,0.0,1.0,28
🐮⚖️ #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,0.0,1.0,29
🏠📹📹📹 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,0.0,1.0,30
👶💥🌎🔬 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,0.0,1.0,31
💥🌎🔬 #WorldEmojiDay,Tue Jul 17 17:22:26 +0000 2018,0.0,0.0,0.0,1.0,32
Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK,Tue Jul 17 17:22:26 +0000 2018,0.807,0.258,0.0,0.742,33
